Base Station Count,SEC Server Count,IoT Device Count,Function Type Count,Function Task Count,Latency Weight (OMEGA),CPU MEM RATIO,Latency REF (s),Energy REF (J),Algorithm Full Name,Offloading Algorithm,Scheduling Algorithm,Resource Allocation Algorithm,System Cost,Real Latency (s),Real Energy (J),Offloading Ratio,Execution Time (s)
4,4,10,6,50,0.5,1.5,5,5,LocalSECOnly + PGES + WF,LocalSECOnly,PGES,WF,118.44280848720601,896.3837655047165,288.0443193673439,1.0,0.028661012649536133
4,4,10,6,50,0.5,1.5,5,5,RandomOffloading + PGES + WF,RandomOffloading,PGES,WF,243.61493868253166,658.5092625192068,1777.6401243061107,0.44,0.007552385330200195
4,4,10,6,50,0.5,1.5,5,5,MyopicLEAO + PGES + WF,MyopicLEAO,PGES,WF,85.4825138763122,580.0835895827458,274.74154918037624,0.56,0.016963958740234375
4,4,10,6,50,0.5,1.5,5,5,CostGreedyOffloading + PGES + WF,CostGreedyOffloading,PGES,WF,84.76908200188501,527.4492290563638,320.24159096248644,0.46,0.12401986122131348
4,4,10,6,50,0.5,1.5,5,5,LEAO + PGES + WF,LEAO,PGES,WF,84.76908200188501,527.4492290563638,320.24159096248644,0.46,0.01619887351989746
4,4,10,6,50,0.5,1.5,5,5,IoTOnly,IoTOnly,,,342.25672844636017,559.1636858636019,2863.4035986000004,0.0,1.5735626220703125e-05
6,6,15,8,100,0.5,1.5,5,5,LocalSECOnly + PGES + WF,LocalSECOnly,PGES,WF,228.50017089411088,1827.9513554310938,457.05035351001555,1.0,0.25095438957214355
6,6,15,8,100,0.5,1.5,5,5,RandomOffloading + PGES + WF,RandomOffloading,PGES,WF,354.6050135036451,1477.218151634628,2068.831983401823,0.56,0.08838772773742676
6,6,15,8,100,0.5,1.5,5,5,MyopicLEAO + PGES + WF,MyopicLEAO,PGES,WF,167.4609721135374,1205.6650772402245,468.94464389514945,0.53,0.1166391372680664
6,6,15,8,100,0.5,1.5,5,5,CostGreedyOffloading + PGES + WF,CostGreedyOffloading,PGES,WF,166.74907590940458,1145.2722340990463,522.2185249949997,0.47,1.37652587890625
6,6,15,8,100,0.5,1.5,5,5,LEAO + PGES + WF,LEAO,PGES,WF,166.1054716921487,1156.558453339208,504.4962635822794,0.48,0.12030887603759766
6,6,15,8,100,0.5,1.5,5,5,IoTOnly,IoTOnly,,,583.2784057177346,1301.0284263773472,4531.755630799999,0.0,0.00011515617370605469
8,8,15,10,150,0.5,1.5,5,5,LocalSECOnly + PGES + WF,LocalSECOnly,PGES,WF,316.43379221732346,2524.6031882357347,639.7347339375006,1.0,0.9202237129211426
8,8,15,10,150,0.5,1.5,5,5,RandomOffloading + PGES + WF,RandomOffloading,PGES,WF,675.5343815505581,2175.7601641993865,4579.583651306195,0.47333333333333333,0.1831662654876709
8,8,15,10,150,0.5,1.5,5,5,MyopicLEAO + PGES + WF,MyopicLEAO,PGES,WF,252.3558923224155,1640.580283542958,882.9786396811968,0.5266666666666666,0.32370710372924805
8,8,15,10,150,0.5,1.5,5,5,CostGreedyOffloading + PGES + WF,CostGreedyOffloading,PGES,WF,271.1163896238079,1572.8473634914221,1138.3165327466581,0.4666666666666667,5.695524215698242
8,8,15,10,150,0.5,1.5,5,5,LEAO + PGES + WF,LEAO,PGES,WF,243.07889970147872,1686.8519143698284,743.9370826449596,0.5266666666666666,0.44774436950683594
8,8,15,10,150,0.5,1.5,5,5,IoTOnly,IoTOnly,,,1061.3660497443325,2325.8759800433218,8287.7845174,0.0,4.363059997558594e-05
10,10,20,12,200,0.5,1.5,5,5,LocalSECOnly + PGES + WF,LocalSECOnly,PGES,WF,387.9071620256912,2851.59495048865,1027.476669768263,1.0,1.7815115451812744
10,10,20,12,200,0.5,1.5,5,5,RandomOffloading + PGES + WF,RandomOffloading,PGES,WF,1007.0547124992155,2620.477020310448,7450.0701046816985,0.475,0.3582484722137451
10,10,20,12,200,0.5,1.5,5,5,MyopicLEAO + PGES + WF,MyopicLEAO,PGES,WF,281.92265567806976,1833.2198833455675,986.0066734351302,0.56,0.9163529872894287
10,10,20,12,200,0.5,1.5,5,5,CostGreedyOffloading + PGES + WF,CostGreedyOffloading,PGES,WF,293.3119323836856,1792.4586671076156,1140.6606567292376,0.51,21.59710955619812
10,10,20,12,200,0.5,1.5,5,5,LEAO + PGES + WF,LEAO,PGES,WF,276.16442193588205,1816.2967062675684,945.3475130912523,0.57,1.128249168395996
10,10,20,12,200,0.5,1.5,5,5,IoTOnly,IoTOnly,,,1480.0460214798125,2673.797896998118,12126.662317799999,0.0,5.340576171875e-05
